Date,Close,High,Low,Open,Volume
2026-05-27 09:00:00+09:00,310.8500061035156,313.260009765625,308.29998779296875,308.3299865722656,50430900
2026-05-28 09:00:00+09:00,312.510009765625,312.79998779296875,309.57000732421875,310.67999267578125,48220400
2026-05-29 09:00:00+09:00,312.0599975585937,315.0,309.5299987792969,311.7799987792969,70026800
2026-06-01 09:00:00+09:00,306.3099975585937,310.94000244140625,305.0199890136719,309.6300048828125,48849900
2026-06-02 09:00:00+09:00,315.20001220703125,315.45001220703125,306.69000244140625,307.4599914550781,44534700
2026-06-03 09:00:00+09:00,310.260009765625,316.94000244140625,308.8500061035156,314.17999267578125,50836700
2026-06-04 09:00:00+09:00,311.2300109863281,313.5400085449219,309.6499938964844,313.2300109863281,44869100
2026-06-05 09:00:00+09:00,307.3399963378906,315.1700134277344,307.1499938964844,312.8599853515625,65310500
2026-06-08 09:00:00+09:00,301.5400085449219,317.3999938964844,301.1700134277344,308.739990234375,77949100
2026-06-09 09:00:00+09:00,290.54998779296875,300.75,287.7799987792969,300.2799987792969,70108800
2026-06-10 09:00:00+09:00,291.5799865722656,294.75,287.3800048828125,290.739990234375,52793300
2026-06-11 09:00:00+09:00,295.6300048828125,297.0,289.5899963378906,293.7200012207031,42572500
2026-06-12 09:00:00+09:00,291.1300048828125,297.1400146484375,289.6199951171875,296.0299987792969,38742100
2026-06-15 09:00:00+09:00,296.4200134277344,297.7799987792969,291.70001220703125,294.1199951171875,45732600
2026-06-16 09:00:00+09:00,299.239990234375,300.4800109863281,293.9700012207031,295.25,39874400
2026-06-17 09:00:00+09:00,295.95001220703125,302.07000732421875,294.3599853515625,300.8500061035156,42745100
2026-06-18 09:00:00+09:00,298.010009765625,300.57000732421875,295.6199951171875,298.1099853515625,85962200
2026-06-22 09:00:00+09:00,297.010009765625,302.4200134277344,296.760009765625,297.30999755859375,44879900
2026-06-23 09:00:00+09:00,294.29998779296875,301.6400146484375,294.17999267578125,297.5400085449219,52010900
2026-06-24 09:00:00+09:00,293.0799865722656,299.70001220703125,292.94000244140625,295.3599853515625,53081900
2026-06-25 09:00:00+09:00,275.1499938964844,288.79998779296875,273.75,287.3999938964844,107013700
2026-06-26 09:00:00+09:00,276.635009765625,280.4700012207031,274.2099914550781,275.0,40849685
